i,j,t
0,97,199409
0,85,199409
0,142,199409
0,81,199409
0,136,199409
0,10,199409
0,156,199409
0,117,199409
0,189,199409
0,22,199409
0,126,199409
0,14,199409
0,2,199409
0,79,199409
0,164,199409
0,112,199409
0,208,199409
0,176,199409
0,84,199409
0,242,199409
0,133,199409
0,12,199409
0,78,199409
0,11,199409
0,123,199409
0,64,199409
0,135,199409
0,52,199409
0,83,199409
0,4,199409
0,39,199409
0,99,199409
0,1,199409
0,40,199409
0,18,199409
0,194,199409
0,24,199409
0,23,199409
0,29,199409
0,102,199409
0,27,199409
0,165,199409
0,47,199409
0,143,199409
0,28,199409
0,69,199409
0,161,199409
0,93,199409
0,32,199409
0,77,199409
0,119,199409
0,19,199409
0,13,199409
0,154,199409
0,115,199409
0,48,199409
0,96,199409
0,137,199409
0,113,199409
0,16,199409
0,45,199409
0,38,199409
0,129,199409
0,51,199409
0,72,199409
0,17,199409
0,26,199409
0,9,199409
0,31,199409
0,108,199409
0,100,199409
0,57,199409
0,59,199409
0,20,199409
0,76,199409
0,60,199409
0,80,199409
0,160,199409
0,35,199409
0,146,199409
0,6,199409
0,46,199409
0,274,199409
0,92,199409
0,25,199409
1,76,199409
1,60,199409
1,274,199409
1,208,199409
1,85,199409
1,93,199409
1,525,199409
1,52,199409
1,59,199409
1,13,199409
1,131,199409
1,142,199409
1,146,199409
1,180,199409
1,157,199409
1,92,199409
1,54,199409
1,29,199409
1,2,199409
1,19,199409
1,16,199409
1,18,199409
1,24,199409
1,47,199409
1,77,199409
1,135,199409
1,12,199409
1,36,199409
1,46,199409
1,32,199409
1,6,199409
1,14,199409
1,108,199409
1,20,199409
1,79,199409
1,15,199409
1,181,199409
1,183,199409
1,26,199409
1,48,199409
1,81,199409
1,184,199409
1,170,199409
1,22,199409
1,69,199409
1,117,199409
1,99,199409
1,0,199409
1,10,199409
1,132,199409
1,27,199409
1,83,199409
1,110,199409
1,31,199409
1,89,199409
1,4,199409
1,7,199409
1,143,199409
1,112,199409
1,149,199409
1,80,199409
1,51,199409
1,160,199409
1,116,199409
1,107,199409
1,124,199409
1,136,199409
1,115,199409
1,64,199409
1,34,199409
1,72,199409
1,9,199409
1,97,199409
1,154,199409
1,21,199409
1,11,199409
1,53,199409
1,25,199409
1,137,199409
1,121,199409
1,17,199409
1,165,199409
1,40,199409
1,5,199409
1,133,199409
1,113,199409
1,23,199409
1,96,199409
1,28,199409
2,45,199409
2,16,199409
2,137,199409
2,26,199409
2,38,199409
2,100,199409
2,81,199409
2,69,199409
2,58,199409
2,79,199409
2,83,199409
2,120,199409
2,14,199409
2,102,199409
2,13,199409
2,64,199409
2,9,199409
2,40,199409
2,6,199409
2,208,199409
2,17,199409
2,5,199409
2,143,199409
2,180,199409
2,160,199409
2,277,199409
2,99,199409
2,24,199409
2,32,199409
2,216,199409
2,27,199409
2,165,199409
2,112,199409
2,11,199409
2,59,199409
2,85,199409
2,35,199409
2,23,199409
2,108,199409
2,77,199409
2,139,199409
2,4,199409
2,355,199409
2,183,199409
2,124,199409
2,107,199409
2,1,199409
2,136,199409
2,22,199409
2,29,199409
2,53,199409
2,60,199409
2,0,199409
2,80,199409
2,19,199409
2,149,199409
2,31,199409
2,135,199409
2,154,199409
2,72,199409
2,28,199409
2,96,199409
2,46,199409
2,93,199409
2,10,199409
2,97,199409
2,92,199409
2,25,199409
2,274,199409
3,4,199409
4,29,199409
4,126,199409
4,16,199409
4,28,199409
4,0,199409
4,45,199409
4,215,199409
4,139,199409
4,35,199409
4,185,199409
4,97,199409
4,46,199409
4,27,199409
4,155,199409
4,78,199409
4,137,199409
4,22,199409
4,119,199409
4,99,199409
4,160,199409
4,94,199409
4,11,199409
4,64,199409
4,25,199409
4,100,199409
4,36,199409
4,23,199409
4,85,199409
4,26,199409
4,268,199409
4,592,199409
4,235,199409
4,2,199409
4,19,199409
4,92,199409
4,54,199409
4,31,199409
4,52,199409
4,6,199409
4,72,199409
4,60,199409
4,13,199409
4,10,199409
4,17,199409
4,80,199409
4,14,199409
4,48,199409
4,69,199409
4,108,199409
4,525,199409
4,305,199409
4,1,199409
4,12,199409
4,196,199409
4,128,199409
4,248,199409
4,51,199409
4,761,199409
4,110,199409
4,306,199409
4,133,199409
4,866,199409
4,223,199409
4,164,199409
4,109,199409
4,214,199409
4,3,199409
4,633,199409
4,135,199409
4,184,199409
4,127,199409
4,213,199409
4,301,199409
4,300,199409
4,107,199409
4,317,199409
4,20,199409
4,843,199409
4,183,199409
4,311,199409
4,121,199409
4,33,199409
4,59,199409
4,50,199409
4,136,199409
4,21,199409
4,177,199409
4,427,199409
4,89,199409
4,222,199409
4,112,199409
4,146,199409
4,5,199409
4,40,199409
4,113,199409
4,154,199409
4,32,199409
4,18,199409
5,89,199409
5,20,199409
5,81,199409
5,85,199409
5,165,199409
5,83,199409
5,250,199409
5,53,199409
5,0,199409
5,38,199409
5,108,199409
5,196,199409
5,77,199409
5,146,199409
5,136,199409
5,80,199409
5,6,199409
5,92,199409
5,30,199409
5,12,199409
5,32,199409
5,99,199409
5,31,199409
5,154,199409
5,96,199409
5,149,199409
5,52,199409
5,40,199409
5,2,199409
5,26,199409
5,116,199409
5,110,199409
5,19,199409
5,18,199409
5,27,199409
5,135,199409
5,107,199409
5,69,199409
5,137,199409
5,10,199409
5,11,199409
5,113,199409
5,4,199409
5,51,199409
5,1,199409
5,29,199409
5,28,199409
5,23,199409
5,133,199409
5,17,199409
6,96,199409
6,110,199409
6,13,199409
6,98,199409
6,330,199409
6,137,199409
6,149,199409
6,161,199409
6,51,199409
6,72,199409
6,41,199409
6,525,199409
6,39,199409
6,14,199409
6,16,199409
6,136,199409
6,237,199409
6,63,199409
6,9,199409
6,265,199409
6,12,199409
6,152,199409
6,22,199409
6,23,199409
6,25,199409
6,1,199409
6,35,199409
6,20,199409
6,132,199409
6,143,199409
6,173,199409
6,53,199409
6,69,199409
6,34,199409
6,355,199409
6,0,199409
6,11,199409
6,66,199409
6,10,199409
6,100,199409
6,181,199409
6,118,199409
6,60,199409
6,4,199409
6,113,199409
6,194,199409
6,165,199409
6,169,199409
6,89,199409
6,45,199409
6,156,199409
6,124,199409
6,17,199409
6,112,199409
6,362,199409
6,27,199409
6,28,199409
6,160,199409
6,297,199409
6,213,199409
6,85,199409
6,21,199409
6,78,199409
6,172,199409
6,92,199409
6,65,199409
6,48,199409
6,81,199409
6,108,199409
6,64,199409
6,38,199409
6,146,199409
6,117,199409
6,2,199409
6,129,199409
6,54,199409
6,57,199409
6,83,199409
6,106,199409
6,217,199409
6,120,199409
6,77,199409
6,82,199409
6,135,199409
6,134,199409
6,99,199409
6,76,199409
6,36,199409
6,94,199409
6,40,199409
6,18,199409
6,154,199409
6,24,199409
6,31,199409
6,97,199409
6,139,199409
6,32,199409
6,142,199409
6,102,199409
6,29,199409
6,46,199409
7,92,199409
7,64,199409
7,137,199409
7,90,199409
7,89,199409
7,135,199409
7,243,199409
7,8,199409
7,29,199409
7,17,199409
7,20,199409
8,29,199409
8,136,199409
8,90,199409
8,243,199409
8,7,199409
8,17,199409
8,89,199409
8,20,199409
9,142,199409
9,76,199409
9,77,199409
9,57,199409
9,183,199409
9,46,199409
9,181,199409
9,65,199409
9,0,199409
9,98,199409
9,96,199409
9,180,199409
9,6,199409
9,97,199409
9,146,199409
9,30,199409
9,19,199409
9,176,199409
9,81,199409
9,24,199409
9,54,199409
9,27,199409
9,31,199409
9,28,199409
9,161,199409
9,14,199409
9,40,199409
9,48,199409
9,16,199409
9,112,199409
9,22,199409
9,116,199409
9,60,199409
9,11,199409
9,47,199409
9,35,199409
9,136,199409
9,51,199409
9,165,199409
9,5,199409
9,26,199409
9,143,199409
9,149,199409
9,248,199409
9,115,199409
9,72,199409
9,10,199409
9,32,199409
9,23,199409
9,17,199409
9,2,199409
9,135,199409
9,137,199409
9,29,199409
9,160,199409
9,1,199409
9,154,199409
9,92,199409
9,25,199409
9,274,199409
10,113,199409
10,100,199409
10,0,199409
10,12,199409
10,20,199409
10,110,199409
10,132,199409
10,32,199409
10,2,199409
10,120,199409
10,35,199409
10,79,199409
10,137,199409
10,52,199409
10,27,199409
10,96,199409
10,97,199409
10,92,199409
10,160,199409
10,47,199409
10,69,199409
10,78,199409
10,99,199409
10,19,199409
10,13,199409
10,17,199409
10,77,199409
10,14,199409
10,134,199409
10,117,199409
10,4,199409
10,76,199409
10,6,199409
10,59,199409
10,181,199409
10,154,199409
10,16,199409
10,48,199409
10,54,199409
10,131,199409
10,108,199409
10,142,199409
10,26,199409
10,38,199409
10,81,199409
10,31,199409
10,119,199409
10,60,199409
10,1,199409
10,29,199409
10,72,199409
10,64,199409
10,89,199409
10,135,199409
10,9,199409
10,11,199409
10,133,199409
10,53,199409
10,51,199409
10,34,199409
10,28,199409
10,21,199409
10,18,199409
10,165,199409
10,85,199409
10,22,199409
10,136,199409
10,46,199409
10,25,199409
10,5,199409
10,112,199409
10,40,199409
10,146,199409
10,107,199409
10,23,199409
11,13,199409
11,45,199409
11,16,199409
11,76,199409
11,100,199409
11,0,199409
11,108,199409
11,92,199409
11,135,199409
11,19,199409
11,53,199409
11,54,199409
11,51,199409
11,81,199409
11,154,199409
11,46,199409
11,36,199409
11,61,199409
11,27,199409
11,144,199409
11,96,199409
11,160,199409
11,17,199409
11,124,199409
11,9,199409
11,208,199409
11,64,199409
11,120,199409
11,189,199409
11,142,199409
11,38,199409
11,1,199409
11,35,199409
11,6,199409
11,48,199409
11,26,199409
11,134,199409
11,12,199409
11,83,199409
11,23,199409
11,77,199409
11,55,199409
11,34,199409
11,29,199409
11,97,199409
11,2,199409
11,40,199409
11,7,199409
11,196,199409
11,165,199409
11,25,199409
11,136,199409
11,59,199409
11,169,199409
11,89,199409
11,85,199409
11,10,199409
11,22,199409
11,107,199409
11,21,199409
11,69,199409
11,72,199409
11,88,199409
11,84,199409
11,150,199409
11,105,199409
11,28,199409
11,20,199409
11,86,199409
11,113,199409
11,223,199409
11,177,199409
11,18,199409
11,30,199409
11,164,199409
