i,j,t
0,181,199704
0,25,199704
0,1,199704
0,120,199704
0,4,199704
0,97,199704
0,52,199704
0,86,199704
0,81,199704
0,33,199704
0,12,199704
0,21,199704
0,6,199704
0,5,199704
0,38,199704
0,30,199704
0,45,199704
0,47,199704
0,32,199704
0,19,199704
0,107,199704
0,18,199704
0,99,199704
0,112,199704
0,77,199704
0,11,199704
0,23,199704
0,53,199704
0,83,199704
0,16,199704
0,14,199704
0,132,199704
0,116,199704
0,154,199704
0,142,199704
0,29,199704
0,20,199704
0,126,199704
0,10,199704
0,60,199704
0,96,199704
0,26,199704
0,85,199704
0,149,199704
0,115,199704
0,28,199704
0,146,199704
0,100,199704
0,64,199704
0,51,199704
0,136,199704
0,102,199704
0,156,199704
0,13,199704
0,2,199704
0,41,199704
0,113,199704
0,326,199704
0,98,199704
0,27,199704
0,165,199704
0,157,199704
0,216,199704
0,72,199704
0,137,199704
0,9,199704
0,17,199704
0,188,199704
0,143,199704
0,124,199704
0,108,199704
0,59,199704
0,48,199704
0,135,199704
0,31,199704
0,40,199704
0,160,199704
0,80,199704
0,35,199704
0,46,199704
0,274,199704
0,92,199704
1,85,199704
1,12,199704
1,2,199704
1,4,199704
1,154,199704
1,27,199704
1,108,199704
1,48,199704
1,180,199704
1,19,199704
1,31,199704
1,28,199704
1,52,199704
1,146,199704
1,160,199704
1,100,199704
1,60,199704
1,248,199704
1,10,199704
1,25,199704
1,38,199704
1,16,199704
1,99,199704
1,107,199704
1,51,199704
1,81,199704
1,5,199704
1,14,199704
1,13,199704
1,21,199704
1,64,199704
1,6,199704
1,143,199704
1,59,199704
1,55,199704
1,536,199704
1,26,199704
1,77,199704
1,69,199704
1,33,199704
1,32,199704
1,376,199704
1,97,199704
1,135,199704
1,22,199704
1,777,199704
1,371,199704
1,0,199704
1,89,199704
1,80,199704
1,345,199704
1,149,199704
1,7,199704
1,54,199704
1,102,199704
1,784,199704
1,894,199704
1,18,199704
1,183,199704
1,299,199704
1,115,199704
1,110,199704
1,116,199704
1,130,199704
1,346,199704
1,189,199704
1,70,199704
1,124,199704
1,213,199704
1,35,199704
1,17,199704
1,150,199704
1,37,199704
1,209,199704
1,136,199704
1,46,199704
1,132,199704
1,34,199704
1,72,199704
1,9,199704
1,53,199704
1,92,199704
1,165,199704
1,137,199704
1,133,199704
1,11,199704
1,20,199704
1,112,199704
1,121,199704
1,40,199704
1,29,199704
1,23,199704
1,96,199704
1,113,199704
2,85,199704
2,47,199704
2,137,199704
2,92,199704
2,25,199704
2,161,199704
2,51,199704
2,1,199704
2,102,199704
2,108,199704
2,80,199704
2,31,199704
2,81,199704
2,156,199704
2,142,199704
2,24,199704
2,5,199704
2,146,199704
2,35,199704
2,52,199704
2,113,199704
2,132,199704
2,100,199704
2,11,199704
2,53,199704
2,163,199704
2,16,199704
2,117,199704
2,27,199704
2,160,199704
