i,j,t
0,157,200912
0,143,200912
0,154,200912
0,160,200912
0,25,200912
0,510,200912
0,188,200912
0,97,200912
0,65,200912
0,23,200912
0,100,200912
0,118,200912
0,48,200912
0,36,200912
0,47,200912
0,11,200912
0,14,200912
0,137,200912
0,21,200912
0,102,200912
0,52,200912
0,40,200912
0,19,200912
0,26,200912
0,77,200912
0,28,200912
0,6,200912
0,124,200912
0,83,200912
0,17,200912
0,136,200912
0,126,200912
0,29,200912
0,99,200912
0,155,200912
0,18,200912
0,32,200912
0,5,200912
0,78,200912
0,274,200912
0,2,200912
0,135,200912
0,13,200912
0,66,200912
0,142,200912
0,38,200912
0,183,200912
0,120,200912
0,24,200912
0,112,200912
0,133,200912
0,149,200912
0,165,200912
0,278,200912
0,64,200912
0,51,200912
0,60,200912
0,146,200912
0,9,200912
0,107,200912
0,81,200912
0,108,200912
0,453,200912
0,16,200912
0,4,200912
0,96,200912
0,27,200912
0,20,200912
0,85,200912
0,80,200912
0,1,200912
0,46,200912
0,10,200912
0,31,200912
0,59,200912
0,35,200912
0,92,200912
1,137,200912
1,146,200912
1,121,200912
1,5,200912
1,10,200912
1,17,200912
1,281,200912
1,23,200912
1,96,200912
1,143,200912
1,12,200912
1,209,200912
1,113,200912
1,1236,200912
1,136,200912
1,160,200912
1,165,200912
1,138,200912
1,784,200912
1,19,200912
1,51,200912
1,46,200912
1,28,200912
1,77,200912
1,175,200912
1,32,200912
1,108,200912
1,931,200912
1,60,200912
1,92,200912
1,29,200912
1,36,200912
1,274,200912
1,9,200912
1,20,200912
1,116,200912
1,4,200912
1,180,200912
1,26,200912
1,115,200912
1,139,200912
1,112,200912
1,97,200912
1,64,200912
1,739,200912
1,154,200912
1,11,200912
1,69,200912
1,100,200912
1,149,200912
1,99,200912
1,21,200912
1,52,200912
1,18,200912
1,83,200912
1,85,200912
1,299,200912
1,16,200912
1,941,200912
1,27,200912
1,1355,200912
1,22,200912
1,13,200912
1,119,200912
1,376,200912
1,183,200912
1,48,200912
1,150,200912
1,130,200912
1,25,200912
1,54,200912
1,261,200912
1,70,200912
1,124,200912
1,0,200912
1,80,200912
1,81,200912
1,102,200912
1,59,200912
1,40,200912
1,142,200912
1,2,200912
1,243,200912
1,132,200912
1,155,200912
1,35,200912
1,110,200912
1,211,200912
1,53,200912
1,133,200912
1,906,200912
1,72,200912
1,8,200912
1,107,200912
1,189,200912
1,37,200912
1,14,200912
1,213,200912
1,31,200912
1,89,200912
1,7,200912
1,6,200912
1,135,200912
2,93,200912
2,160,200912
2,28,200912
2,552,200912
2,198,200912
2,385,200912
2,25,200912
2,161,200912
2,282,200912
2,890,200912
2,143,200912
2,188,200912
2,165,200912
2,87,200912
2,124,200912
2,138,200912
2,339,200912
2,51,200912
2,20,200912
2,113,200912
2,16,200912
2,180,200912
2,84,200912
2,69,200912
2,102,200912
2,139,200912
2,121,200912
2,64,200912
2,52,200912
2,23,200912
2,155,200912
2,38,200912
2,77,200912
2,10,200912
2,6,200912
2,99,200912
2,136,200912
2,14,200912
2,54,200912
2,9,200912
2,123,200912
2,129,200912
2,92,200912
2,17,200912
2,21,200912
2,274,200912
2,4,200912
2,11,200912
2,19,200912
2,40,200912
2,46,200912
2,22,200912
2,18,200912
2,119,200912
2,32,200912
2,0,200912
2,146,200912
2,83,200912
2,13,200912
2,133,200912
2,112,200912
2,346,200912
2,341,200912
2,26,200912
2,59,200912
2,48,200912
2,97,200912
2,100,200912
2,157,200912
2,80,200912
2,12,200912
2,154,200912
2,27,200912
2,96,200912
2,5,200912
2,107,200912
2,72,200912
2,29,200912
2,60,200912
2,108,200912
2,1,200912
2,135,200912
2,31,200912
2,137,200912
3,69,200912
3,311,200912
3,51,200912
3,4,200912
4,64,200912
4,51,200912
4,109,200912
4,5,200912
4,1070,200912
4,77,200912
4,127,200912
4,110,200912
4,281,200912
4,222,200912
4,1,200912
4,427,200912
4,69,200912
4,160,200912
4,843,200912
4,26,200912
4,108,200912
4,10,200912
4,133,200912
4,83,200912
4,113,200912
4,25,200912
4,24,200912
4,20,200912
4,48,200912
4,181,200912
4,137,200912
4,60,200912
4,99,200912
4,741,200912
4,96,200912
4,17,200912
4,35,200912
4,54,200912
4,139,200912
4,19,200912
4,6,200912
4,633,200912
4,136,200912
4,16,200912
4,40,200912
4,31,200912
4,161,200912
4,22,200912
4,85,200912
4,9,200912
4,1649,200912
4,119,200912
4,305,200912
4,27,200912
4,100,200912
4,14,200912
4,13,200912
4,286,200912
4,43,200912
4,29,200912
4,112,200912
4,28,200912
4,2,200912
4,0,200912
4,128,200912
4,1169,200912
4,306,200912
4,92,200912
4,3,200912
4,23,200912
4,268,200912
4,105,200912
4,761,200912
4,866,200912
4,97,200912
4,88,200912
4,274,200912
4,819,200912
4,84,200912
4,189,200912
4,7,200912
4,18,200912
4,317,200912
4,301,200912
4,107,200912
4,86,200912
4,184,200912
4,300,200912
4,150,200912
4,154,200912
4,121,200912
4,223,200912
4,59,200912
4,311,200912
4,30,200912
4,33,200912
4,243,200912
4,8,200912
4,214,200912
4,164,200912
4,50,200912
4,46,200912
4,183,200912
4,135,200912
4,146,200912
4,11,200912
4,196,200912
4,177,200912
4,89,200912
4,21,200912
4,213,200912
4,32,200912
5,28,200912
5,133,200912
5,39,200912
5,137,200912
5,20,200912
5,138,200912
5,51,200912
5,19,200912
5,97,200912
5,150,200912
5,501,200912
5,154,200912
5,183,200912
5,817,200912
5,6,200912
5,261,200912
5,89,200912
5,21,200912
5,1,200912
5,143,200912
5,4,200912
5,112,200912
5,755,200912
5,17,200912
5,11,200912
5,29,200912
5,16,200912
5,77,200912
5,10,200912
5,23,200912
5,819,200912
5,160,200912
5,552,200912
5,107,200912
5,132,200912
5,110,200912
5,136,200912
5,177,200912
5,119,200912
5,81,200912
5,1144,200912
5,135,200912
5,1456,200912
5,115,200912
5,36,200912
5,54,200912
5,64,200912
5,12,200912
5,165,200912
5,80,200912
5,155,200912
5,72,200912
5,22,200912
5,9,200912
5,102,200912
5,32,200912
5,146,200912
5,2,200912
5,0,200912
5,93,200912
5,18,200912
5,85,200912
5,69,200912
5,108,200912
5,83,200912
5,13,200912
5,247,200912
5,60,200912
5,40,200912
5,142,200912
5,124,200912
5,52,200912
5,8,200912
5,48,200912
5,31,200912
5,33,200912
5,14,200912
5,222,200912
5,274,200912
5,7,200912
5,27,200912
5,92,200912
5,96,200912
5,59,200912
5,121,200912
5,113,200912
6,146,200912
6,176,200912
6,160,200912
6,38,200912
6,150,200912
6,77,200912
6,40,200912
6,16,200912
6,117,200912
6,137,200912
6,48,200912
6,64,200912
6,274,200912
6,23,200912
6,29,200912
6,133,200912
6,60,200912
6,552,200912
6,51,200912
6,14,200912
6,114,200912
6,17,200912
6,463,200912
6,154,200912
6,27,200912
6,126,200912
6,175,200912
6,815,200912
6,5,200912
6,102,200912
6,13,200912
6,32,200912
6,110,200912
6,132,200912
6,35,200912
6,88,200912
6,52,200912
6,143,200912
6,59,200912
6,138,200912
6,180,200912
6,83,200912
6,4,200912
6,136,200912
6,36,200912
6,156,200912
6,94,200912
6,100,200912
6,54,200912
6,265,200912
6,124,200912
6,80,200912
6,123,200912
6,78,200912
6,223,200912
6,61,200912
6,320,200912
6,31,200912
6,97,200912
6,45,200912
6,18,200912
6,69,200912
6,11,200912
6,2,200912
6,142,200912
6,1088,200912
6,135,200912
6,333,200912
6,354,200912
6,22,200912
6,739,200912
6,108,200912
6,81,200912
6,183,200912
6,86,200912
6,46,200912
