i,j,t
0,433,200801
0,36,200801
0,216,200801
0,108,200801
0,160,200801
0,371,200801
0,80,200801
0,335,200801
0,143,200801
0,1040,200801
0,136,200801
0,129,200801
0,25,200801
0,41,200801
0,76,200801
0,52,200801
0,1,200801
0,102,200801
0,739,200801
0,60,200801
0,22,200801
0,93,200801
0,9,200801
0,72,200801
0,142,200801
0,13,200801
0,19,200801
0,134,200801
0,6,200801
0,115,200801
0,23,200801
0,40,200801
0,69,200801
0,29,200801
0,20,200801
0,27,200801
0,77,200801
0,4,200801
0,11,200801
0,39,200801
0,165,200801
0,14,200801
0,64,200801
0,154,200801
0,10,200801
0,35,200801
0,5,200801
0,17,200801
0,92,200801
0,54,200801
0,2,200801
0,180,200801
0,46,200801
0,83,200801
0,53,200801
0,81,200801
0,21,200801
0,101,200801
0,107,200801
0,117,200801
0,96,200801
0,137,200801
0,99,200801
0,32,200801
0,900,200801
0,124,200801
0,26,200801
0,149,200801
0,120,200801
0,346,200801
0,113,200801
0,16,200801
0,119,200801
0,281,200801
0,132,200801
0,97,200801
0,89,200801
0,85,200801
0,18,200801
0,28,200801
0,146,200801
0,100,200801
0,135,200801
0,48,200801
0,31,200801
0,59,200801
0,274,200801
1,5,200801
1,209,200801
1,433,200801
1,37,200801
1,22,200801
1,136,200801
1,29,200801
1,66,200801
1,914,200801
1,138,200801
1,175,200801
1,143,200801
1,188,200801
1,35,200801
1,96,200801
1,20,200801
1,137,200801
1,10,200801
1,89,200801
1,165,200801
1,28,200801
1,45,200801
1,784,200801
1,160,200801
1,27,200801
1,23,200801
1,64,200801
1,552,200801
1,25,200801
1,77,200801
1,139,200801
1,4,200801
1,31,200801
1,108,200801
1,14,200801
1,46,200801
1,60,200801
1,150,200801
1,395,200801
1,97,200801
1,21,200801
1,270,200801
1,99,200801
1,135,200801
1,233,200801
1,80,200801
1,11,200801
1,722,200801
1,54,200801
1,17,200801
1,81,200801
1,0,200801
1,2,200801
1,274,200801
1,653,200801
1,157,200801
1,161,200801
1,777,200801
1,48,200801
1,9,200801
1,32,200801
1,112,200801
1,548,200801
1,26,200801
1,6,200801
1,536,200801
1,132,200801
1,13,200801
1,83,200801
1,731,200801
1,299,200801
1,941,200801
1,52,200801
1,345,200801
1,304,200801
1,1355,200801
1,100,200801
1,36,200801
1,303,200801
1,149,200801
1,180,200801
1,40,200801
1,119,200801
1,376,200801
1,116,200801
1,16,200801
1,69,200801
1,133,200801
1,184,200801
1,12,200801
1,130,200801
1,183,200801
1,115,200801
1,33,200801
1,124,200801
1,261,200801
1,70,200801
1,85,200801
1,34,200801
1,107,200801
1,7,200801
1,142,200801
1,110,200801
1,102,200801
1,113,200801
1,243,200801
1,906,200801
1,59,200801
1,211,200801
1,155,200801
1,18,200801
1,189,200801
1,213,200801
1,19,200801
1,72,200801
1,146,200801
1,8,200801
1,53,200801
