i,j,t
0,19,200706
0,326,200706
0,35,200706
0,152,200706
0,341,200706
0,32,200706
0,136,200706
0,113,200706
0,6,200706
0,22,200706
0,1147,200706
0,160,200706
0,120,200706
0,322,200706
0,25,200706
0,433,200706
0,143,200706
0,117,200706
0,30,200706
0,83,200706
0,16,200706
0,1,200706
0,26,200706
0,52,200706
0,18,200706
0,40,200706
0,97,200706
0,112,200706
0,64,200706
0,142,200706
0,13,200706
0,104,200706
0,99,200706
0,11,200706
0,85,200706
0,38,200706
0,141,200706
0,27,200706
0,29,200706
0,101,200706
0,119,200706
0,14,200706
0,4,200706
0,327,200706
0,107,200706
0,155,200706
0,2,200706
0,146,200706
0,28,200706
0,10,200706
0,72,200706
0,100,200706
0,165,200706
0,17,200706
0,96,200706
0,5,200706
0,154,200706
0,46,200706
0,80,200706
0,60,200706
0,48,200706
0,135,200706
0,31,200706
0,59,200706
0,108,200706
0,274,200706
0,92,200706
0,137,200706
1,23,200706
1,931,200706
1,784,200706
1,22,200706
1,165,200706
1,136,200706
1,132,200706
1,5,200706
1,28,200706
1,89,200706
1,181,200706
1,154,200706
1,2,200706
1,20,200706
1,53,200706
1,433,200706
1,62,200706
1,77,200706
1,10,200706
1,82,200706
1,38,200706
1,552,200706
1,137,200706
1,142,200706
1,46,200706
1,17,200706
1,960,200706
1,209,200706
1,143,200706
1,0,200706
1,51,200706
1,96,200706
1,914,200706
1,160,200706
1,47,200706
1,138,200706
1,213,200706
1,175,200706
1,37,200706
1,27,200706
1,92,200706
1,99,200706
1,83,200706
1,97,200706
1,261,200706
1,52,200706
1,21,200706
1,54,200706
1,80,200706
1,48,200706
1,26,200706
1,32,200706
1,108,200706
1,14,200706
1,19,200706
1,9,200706
1,543,200706
1,8,200706
1,6,200706
1,4,200706
1,35,200706
1,375,200706
1,13,200706
1,233,200706
1,60,200706
1,18,200706
1,12,200706
1,135,200706
1,100,200706
1,536,200706
1,345,200706
1,183,200706
1,941,200706
1,395,200706
1,1355,200706
1,299,200706
1,110,200706
1,155,200706
1,36,200706
1,119,200706
1,69,200706
1,149,200706
1,157,200706
1,11,200706
1,184,200706
1,33,200706
1,130,200706
1,116,200706
1,115,200706
1,25,200706
1,107,200706
1,70,200706
1,133,200706
1,40,200706
1,29,200706
1,16,200706
1,64,200706
1,34,200706
1,124,200706
1,906,200706
1,113,200706
1,85,200706
1,81,200706
1,211,200706
1,243,200706
1,189,200706
1,7,200706
1,274,200706
1,150,200706
1,102,200706
1,59,200706
1,121,200706
1,72,200706
1,146,200706
1,31,200706
1,112,200706
2,38,200706
2,61,200706
2,87,200706
2,0,200706
2,335,200706
2,552,200706
2,58,200706
2,137,200706
2,28,200706
2,143,200706
2,165,200706
2,1232,200706
2,146,200706
2,160,200706
2,93,200706
2,385,200706
2,25,200706
2,138,200706
2,100,200706
2,433,200706
2,118,200706
2,250,200706
2,169,200706
2,136,200706
2,224,200706
2,85,200706
2,274,200706
2,33,200706
2,83,200706
2,189,200706
2,32,200706
2,59,200706
2,86,200706
2,150,200706
2,164,200706
2,197,200706
2,64,200706
2,544,200706
2,20,200706
2,906,200706
2,29,200706
2,46,200706
2,4,200706
2,19,200706
2,27,200706
2,78,200706
2,52,200706
2,99,200706
2,14,200706
2,21,200706
2,26,200706
2,102,200706
2,18,200706
2,97,200706
2,16,200706
2,6,200706
2,12,200706
2,108,200706
2,23,200706
2,107,200706
2,96,200706
2,17,200706
2,1169,200706
2,11,200706
2,51,200706
2,157,200706
2,116,200706
2,119,200706
2,115,200706
2,72,200706
2,10,200706
2,112,200706
2,48,200706
2,9,200706
2,22,200706
2,124,200706
2,5,200706
2,154,200706
2,1,200706
2,31,200706
2,60,200706
2,135,200706
2,92,200706
3,69,200706
3,807,200706
3,311,200706
3,110,200706
4,150,200706
4,160,200706
4,427,200706
4,62,200706
4,32,200706
4,83,200706
4,222,200706
4,122,200706
4,137,200706
4,1070,200706
4,5,200706
4,69,200706
4,175,200706
4,121,200706
4,181,200706
4,40,200706
4,11,200706
4,247,200706
4,136,200706
4,189,200706
4,127,200706
4,17,200706
4,109,200706
4,51,200706
4,18,200706
4,110,200706
4,843,200706
4,20,200706
4,265,200706
4,101,200706
4,26,200706
4,59,200706
4,108,200706
4,12,200706
4,19,200706
4,10,200706
4,113,200706
4,52,200706
4,31,200706
4,60,200706
4,23,200706
4,165,200706
4,154,200706
4,99,200706
4,2,200706
4,6,200706
4,133,200706
4,100,200706
4,27,200706
4,72,200706
4,85,200706
4,132,200706
4,48,200706
4,34,200706
4,1169,200706
4,185,200706
4,107,200706
4,13,200706
4,96,200706
4,28,200706
4,305,200706
4,25,200706
4,0,200706
4,592,200706
4,14,200706
4,633,200706
4,128,200706
4,35,200706
4,89,200706
4,92,200706
4,238,200706
4,268,200706
4,306,200706
4,88,200706
4,301,200706
4,54,200706
4,274,200706
4,819,200706
4,317,200706
4,84,200706
4,213,200706
4,300,200706
4,77,200706
4,164,200706
4,223,200706
4,183,200706
4,86,200706
4,30,200706
4,184,200706
4,311,200706
4,22,200706
4,50,200706
4,16,200706
4,214,200706
4,7,200706
4,33,200706
4,112,200706
4,177,200706
4,46,200706
4,1,200706
4,97,200706
4,21,200706
4,135,200706
4,29,200706
4,146,200706
4,64,200706
4,196,200706
5,30,200706
5,72,200706
5,132,200706
5,89,200706
5,457,200706
5,21,200706
