i,j,t
0,97,200411
0,433,200411
0,188,200411
0,157,200411
0,25,200411
0,54,200411
0,85,200411
0,779,200411
0,80,200411
0,137,200411
0,24,200411
0,143,200411
0,14,200411
0,93,200411
0,160,200411
0,6,200411
0,64,200411
0,29,200411
0,155,200411
0,26,200411
0,11,200411
0,110,200411
0,16,200411
0,86,200411
0,274,200411
0,1,200411
0,136,200411
0,180,200411
0,51,200411
0,320,200411
0,213,200411
0,120,200411
0,48,200411
0,52,200411
0,107,200411
0,35,200411
0,18,200411
0,23,200411
0,40,200411
0,142,200411
0,20,200411
0,12,200411
0,59,200411
0,542,200411
0,99,200411
0,77,200411
0,102,200411
0,27,200411
0,21,200411
0,28,200411
0,17,200411
0,133,200411
0,165,200411
0,96,200411
0,4,200411
0,112,200411
0,9,200411
0,10,200411
0,154,200411
0,2,200411
0,100,200411
0,19,200411
0,135,200411
0,5,200411
0,13,200411
0,60,200411
0,146,200411
0,32,200411
0,31,200411
0,108,200411
0,46,200411
0,92,200411
1,96,200411
1,26,200411
1,5,200411
1,24,200411
1,11,200411
1,143,200411
1,99,200411
1,60,200411
1,29,200411
1,784,200411
1,35,200411
1,146,200411
1,20,200411
1,10,200411
1,433,200411
1,40,200411
1,160,200411
1,165,200411
1,136,200411
1,23,200411
1,552,200411
1,6,200411
1,150,200411
1,137,200411
1,22,200411
1,37,200411
1,62,200411
1,77,200411
1,129,200411
1,138,200411
1,209,200411
1,17,200411
1,47,200411
1,18,200411
1,175,200411
1,27,200411
1,398,200411
1,2,200411
1,501,200411
1,28,200411
1,64,200411
1,155,200411
1,299,200411
1,102,200411
1,13,200411
1,126,200411
1,54,200411
1,139,200411
1,48,200411
1,85,200411
1,117,200411
1,161,200411
1,19,200411
1,274,200411
1,228,200411
1,21,200411
1,247,200411
1,100,200411
1,142,200411
1,31,200411
1,97,200411
1,25,200411
1,51,200411
1,941,200411
1,46,200411
1,0,200411
1,120,200411
1,164,200411
1,108,200411
1,59,200411
1,271,200411
1,393,200411
1,112,200411
1,376,200411
1,317,200411
1,1355,200411
1,52,200411
1,536,200411
1,181,200411
1,180,200411
1,303,200411
1,36,200411
1,157,200411
1,345,200411
1,223,200411
1,89,200411
1,149,200411
1,7,200411
1,12,200411
1,183,200411
1,116,200411
1,119,200411
1,395,200411
1,115,200411
1,16,200411
1,69,200411
1,130,200411
1,121,200411
1,80,200411
1,70,200411
1,81,200411
1,30,200411
1,4,200411
1,34,200411
1,184,200411
1,132,200411
1,906,200411
1,261,200411
1,110,200411
1,124,200411
1,211,200411
1,33,200411
1,83,200411
1,189,200411
1,113,200411
1,32,200411
1,133,200411
1,213,200411
1,53,200411
1,107,200411
1,72,200411
1,9,200411
1,154,200411
1,92,200411
1,14,200411
1,135,200411
2,5,200411
2,38,200411
2,93,200411
2,137,200411
2,165,200411
2,85,200411
2,170,200411
2,143,200411
2,25,200411
2,92,200411
2,495,200411
2,160,200411
2,552,200411
2,77,200411
2,433,200411
2,282,200411
2,87,200411
2,108,200411
2,20,200411
2,133,200411
2,13,200411
2,22,200411
2,69,200411
2,23,200411
2,261,200411
2,96,200411
2,150,200411
2,51,200411
2,14,200411
2,181,200411
2,9,200411
2,97,200411
2,11,200411
